;site;longitude;latitude;altitude;prec_jan;prec_july;prec_annual;temp_jan;temp_july;temp_annual;Landuse_type;Genotype;Method;Region;reads;replicates;site_code
w02ava005;Arctic Village;-145.572;68.119;610;10;26;165;-29.1;11;-10.3;Tundra;North_deme;Random;Alaska;30187;4;ava
w02ava007;Arctic Village;-145.572;68.119;610;10;26;165;-29.1;11;-10.3;Tundra;North_deme;Random;Alaska;56487;4;ava
w02ava008;Arctic Village;-145.572;68.119;610;10;26;165;-29.1;11;-10.3;Tundra;North_deme;Random;Alaska;42292;4;ava
w02ava009;Arctic Village;-145.572;68.119;610;10;26;165;-29.1;11;-10.3;Tundra;North_deme;Random;Alaska;30091;4;ava
w02boy005;Boyle;-112.376;54.289;712;21;88;460;-14.9;16;1.4;Temperate_forest;South_deme;Transect partially;Canada;26894;7;boy
w02boy007;Boyle;-112.376;54.289;712;21;88;460;-14.9;16;1.4;Temperate_forest;South_deme;Transect partially;Canada;22806;7;boy
w02boy009;Boyle;-112.376;54.289;712;21;88;460;-14.9;16;1.4;Temperate_forest;South_deme;Transect partially;Canada;19675;7;boy
w02boy014;Boyle;-112.376;54.289;712;21;88;460;-14.9;16;1.4;Temperate_forest;South_deme;Transect partially;Canada;24173;7;boy
w02boy020;Boyle;-112.376;54.289;712;21;88;460;-14.9;16;1.4;Temperate_forest;South_deme;Transect partially;Canada;40735;7;boy
w02boy023;Boyle;-112.376;54.289;712;21;88;460;-14.9;16;1.4;Temperate_forest;South_deme;Transect partially;Canada;37628;7;boy
w02boy028;Boyle;-112.376;54.289;712;21;88;460;-14.9;16;1.4;Temperate_forest;South_deme;Transect partially;Canada;5053;7;boy
w02car001;Carnduff;-101.51;49.133;496;13;63;396;-16.2;19.6;3.1;Agricultural;South_deme;Random;Canada;38932;13;car
w02car002;Carnduff;-101.51;49.133;496;13;63;396;-16.2;19.6;3.1;Agricultural;South_deme;Random;Canada;50972;13;car
w02car003;Carnduff;-101.51;49.133;496;13;63;396;-16.2;19.6;3.1;Agricultural;South_deme;Random;Canada;20331;13;car
w02car007;Carnduff;-101.51;49.133;496;13;63;396;-16.2;19.6;3.1;Agricultural;South_deme;Random;Canada;23012;13;car
w02car009;Carnduff;-101.51;49.133;496;13;63;396;-16.2;19.6;3.1;Agricultural;South_deme;Random;Canada;29559;13;car
w02car014;Carnduff;-101.51;49.133;496;13;63;396;-16.2;19.6;3.1;Agricultural;South_deme;Random;Canada;25961;13;car
w02car016;Carnduff;-101.51;49.133;496;13;63;396;-16.2;19.6;3.1;Agricultural;South_deme;Random;Canada;34067;13;car
w02car017;Carnduff;-101.51;49.133;496;13;63;396;-16.2;19.6;3.1;Agricultural;South_deme;Random;Canada;52496;13;car
w02car021;Carnduff;-101.51;49.133;496;13;63;396;-16.2;19.6;3.1;Agricultural;South_deme;Random;Canada;39381;13;car
w02car023;Carnduff;-101.51;49.133;496;13;63;396;-16.2;19.6;3.1;Agricultural;South_deme;Random;Canada;36097;13;car
w02car024;Carnduff;-101.51;49.133;496;13;63;396;-16.2;19.6;3.1;Agricultural;South_deme;Random;Canada;32161;13;car
